Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
"Cell Cycle, Mitotic (Reactome)"	-2.590699047	6.382475291	-1.946078594	0.077173815	0.321888196	-4.541067359	"ACTR1A,AHCTF1,AKAP9,ALMS1,ANAPC1,ANAPC10,ANAPC11,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CENPS,AURKA,AURKB,CEP131,B9D2,BIRC5,BTRC,BUB1,BUB1B,BUB3,KNL1,SPDL1,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CDC14A,CDC16,CDC20,CDC23,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDCA8,CDK1,CDK11A,CDK11B,CDK2,CDK4,CDK5RAP2,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDT1,CENPA,CENPC,CENPE,CENPF,CENPH,CENPI,CENPJ,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CNTRL,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CKAP5,CKS1B,CLASP1,CLASP2,CLIP1,CSNK1D,CSNK1E,CUL1,DBF4,DCTN1,DCTN2,DCTN3,DHFR,DNA2,DSN1,DYNC1H1,DYNC1I2,DYNLL1,E2F1,E2F2,E2F3,E2F4,E2F5,ERCC6L,FBXO5,FEN1,FGFR1OP,FZR1,GINS1,GINS2,GINS4,GMNN,GORASP1,HAUS2,HSP90AA1,INCENP,ITGB3BP,KIF18A,KIF20A,KIF23,KIF2A,KIF2B,KIF2C,KNTC1,LIG1,MAD1L1,MAD2L1,MAPRE1,MAX,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MIS12,CENPU,MNAT1,MYC,NDC80,NDE1,NDEL1,NEDD1,NEK2,NINL,NSL1,NUDC,NUF2,NUMA1,NUP107,NUP133,NUP160,NUP37,NUP43,NUP85,NUP98,ODF2,OFD1,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PAFAH1B1,PCM1,PCNA,PCNT,PKMYT1,PLK1,PLK4,PMF1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PRIM1,PRIM2,PRKACA,PRKAR2B,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RAD21,RANBP2,RANGAP1,RB1,RCC2,REC8,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPA4,RPS27,RPS27A,RRM2,SDCCAG8,SEC13,SEH1L,SFI1,SGO1,SGO2,SKA1,SKA2,SKP1,SKP2,SMC1A,SMC3,SPC24,SPC25,SSNA1,STAG1,STAG2,TAOK1,TFDP1,TK2,CEP41,TUBA1A,TUBA4A,TUBB,TUBB4B,TUBB4A,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,TYMS,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,WEE1,XPO1,YWHAE,YWHAG,ZW10,ZWILCH,ZWINT"
Signaling by Wnt (Reactome)	-2.510335223	6.68598031	-1.940013445	0.077978321	0.321888196	-4.550196702	"APC,AXIN1,BTRC,CSNK1A1,CTNNB1,CUL1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,SKP1,UBA52,UBB,UBC"
Opioid Signalling (Reactome)	-2.668566516	6.548963933	-1.93623172	0.078483865	0.321888196	-4.555882193	"ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,GRK2,CALM1,CAMK4,CDK5,CREB1,GNAI1,GNAI2,GNAI3,GNAL,GNAO1,GNAT1,GNAT2,GNAT3,GNAZ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,ITPR1,ITPR2,ITPR3,MAPK1,OPRM1,PDE1A,PDE1B,PDE1C,PDE4A,PDE4B,PDE4C,PDE4D,PDYN,PLA2G4A,PLCB1,PLCB2,PLCB3,PLCB4,POMC,PPP1CA,PPP1R1B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG"
Proteasome Degradation (Wikipathways)	-2.374142238	6.47002064	-1.934010847	0.078782164	0.321888196	-4.559218633	"PSME3,HIST1H2AE,H2AFX,H2AFZ,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IFNG,NEDD4,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD7,PSMD8,PSMD9,PSMD10,PSMD11,PSMD12,PSMD13,PSME1,PSME2,RPN1,RPN2,NA,UBB,UBC,UBA1,UBA7,UBE2B,UBE2D1,UBE2D2,UBE2D3,UCHL1,UCHL3,HIST1H2AB,PSMD6"
Serotonin HTR1 Group and FOS Pathway (Wikipathways)	-2.607379123	6.4913087	-1.933734281	0.078819384	0.321888196	-4.559633993	"NA,RASGRP1,CREB1,MAPK14,ELK1,ELK4,FOS,GNAI1,GNAI2,GNAI3,GNAO1,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,ITPR1,RHOA,MAP3K1,PDPK1,PIK3CA,MAPK3,MAP2K1,MAP2K2,MAP2K3,MAP2K6,RAP1A,RASGRF1,SRF,BRAF,MAPKAPK3,RPS6KA5,MAPKAPK2"
IL-2 Signaling Pathway (Wikipathways)	-2.256084568	7.014820996	-1.912174103	0.081771489	0.330539117	-4.591926641	"EIF4EP2,STAM2,RACK1,CHUK,CISH,CREB1,CRK,CRKL,MAPK14,EIF4E,AKT1,ETS1,ETS2,PTK2B,FOXO3,PLCB1,MTOR,FYN,GRB2,NR3C1,HSP90AA1,ICAM1,IFNA1,IL2,IL2RA,IL2RB,IL2RG,IRS1,JAK1,JAK2,JAK3,KRAS,LCK,LYN,NFKB1,YBX1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PRKCZ,MAPK1,MAPK3,MAPK8,MAPK9,MAP2K1,MAP2K2,PTPN6,PTPN11,RAF1,BCL2,RELA,RPS6KB1,SHB,SHC1,SOS1,STAT1,STAT3,STAT5A,STAT5B,SYK,TERT,VAV1,STAM,MKNK1,SOCS1,IRS2,EIF3B,CBL,SOCS3,NMI,MAPKAPK2,ITM2B,CD53,GAB2"
Hypothetical Network for Drug Addiction (Wikipathways)	-2.801278865	6.449978632	-1.910663841	0.081982056	0.330539117	-4.594182164	"ADCY1,NISCH,ADCY8,CREB1,DRD1,DRD2,DRD4,ZHX2,GRIA1,GRIA2,GRIA3,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRM1,GRM5,GJB7,TERF2IP,PPA1,PRKACA,PRKCE,MAPK1,MAPK3,MAP2K1,MAP2K2,ACTA1,CAMK4,CAMK2B,KRIT1"
Signaling by Insulin receptor (Reactome)	-2.800695519	6.461272643	-1.890912312	0.084782269	0.334235877	-4.623600381	"AKT2,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1G3,ATP6V1H,CAB39,CAB39L,CDK1,CRK,DOK1,EEF2K,EIF4B,EIF4E,EIF4EBP1,EIF4G1,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FRS2,GAB1,GRB10,GRB2,HRAS,INS,INSR,IRS1,IRS2,KL,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MLST8,MTOR,NRAS,PDE3B,PDPK1,PIK3C3,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PIK3R4,PPM1A,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PTPN11,RAF1,RHEB,RPS6,RPS6KB1,RPTOR,SHC1,SHC2,SHC3,SOS1,STK11,STRADA,STRADB,TCIRG1,THEM4,TLR9,TRIB3,TSC1,TSC2,YWHAB"
"{GAPDH,13} (Static Module)"	-2.093928553	7.196079264	-1.88990969	0.084926733	0.334235877	-4.625089703	"BPGM,ENO1,GAPDH,GAPDHS,GPD1,GPD1L,GPI,PGD,PGK1,PGK2,PRDX1,PRDX4,PYROXD1"
Basal cell carcinoma (KEGG)	-2.976056209	6.543147962	1.889661998	0.084962457	0.334235877	-4.625457571	"APC2,FZD10,CTNNB1,DVL1,DVL2,DVL3,FZD2,STK36,GLI1,GLI2,GLI3,GSK3B,APC,LEF1,WNT16,SUFU,WNT4,PTCH1,HHIP,SHH,BMP2,BMP4,SMO,TCF7,TCF7L2,TP53,WNT1,WNT2,WNT3,WNT5A,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT10B,WNT11,WNT2B,WNT9A,WNT9B,FZD5,FZD3,WNT10A,WNT5B,AXIN1,AXIN2,FZD1,FZD4,FZD6,FZD7,FZD8,FZD9,TCF7L1,PTCH2,WNT3A"
HIV Infection (Reactome)	-2.490290815	6.440069091	-1.88932543	0.085011021	0.334235877	-4.6259574	"AAAS,AP1B1,AP1G1,AP1M1,AP1M2,AP1S1,AP1S2,AP1S3,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APOBEC3G,ARF1,ATP6V1H,B2M,BANF1,BTRC,CCNH,CCNT1,CCNT2,CCR5,CD247,CD28,CD4,CD8B,CDK7,CDK9,NELFB,CTDP1,CUL5,CXCR4,DOCK2,ELL,ELMO1,ERCC2,ERCC3,FEN1,FYN,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,HCK,HLA-A,HMGA1,KPNA1,KPNB1,LCK,LIG1,LIG4,MNAT1,NCBP1,NCBP2,NPM1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUP98,NUP58,NUPL2,PACS1,PAK2,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,PPIA,PSIP1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RAC1,RAE1,RAN,RANBP1,RANBP2,RANGAP1,RBX1,RCC1,NELFE,RNGTT,RNMT,RPS27A,SEH1L,SKP1,SLC25A4,SLC25A5,SLC25A6,SSRP1,SUPT16H,SUPT4H1,SUPT5H,TAF1,TAF10,TAF11,TAF12,TAF13,TAF4,TAF4B,TAF5,TAF6,TAF9,TBP,TCEA1,ELOC,ELOB,ELOA,NELFCD,TPR,UBA52,UBB,UBC,NELFA,XPO1,XRCC4,XRCC5,XRCC6,ERVW-1,S100B,TAT"
Ether lipid metabolism (KEGG)	-2.79833138	6.172870903	-1.882824609	0.085954057	0.33585752	-4.635602955	"PLA2G4B,CEPT1,PLA2G4E,ENPP6,PLB1,LPCAT4,PLA2G2D,PLA2G2E,PLA2G2C,PAFAH1B1,PLA2G3,PAFAH1B2,PAFAH1B3,PAFAH2,ENPP2,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,LPCAT2,CHPT1,PLA2G2F,PLA2G7,LPCAT1,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,AGPS,SELENOI,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B"
Nuclear Receptors (Wikipathways)	-3.042459872	5.552646647	-1.87780628	0.086688598	0.336649585	-4.643037596	"NR1H3,NR0B1,NR2F6,ESR1,ESR2,ESRRA,ESRRB,NR5A2,NR5A1,NR3C1,NR4A1,HNF4A,AR,ROR1,NR4A2,PGR,PPARA,PPARD,PPARG,RARA,RARB,RARG,RORA,RORC,RXRA,RXRB,RXRG,NR2F1,NR2F2,THRA,THRB,NR2E1,NR2C2,NR1H2,VDR,NR1I2,NR1I3,NR1D2"
Progesterone-mediated oocyte maturation (KEGG)	-2.592200882	6.582939651	-1.864849162	0.088611861	0.341289361	-4.662187686	"AKT3,CDK2,ANAPC10,MAD2L2,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,MAPK14,ADCY4,AKT1,AKT2,PIK3R5,SPDYA,CDC26,ANAPC13,RPS6KA6,GNAI1,GNAI2,GNAI3,ANAPC2,ANAPC4,HSP90AA1,HSP90AB1,IGF1,IGF1R,INS,ARAF,KRAS,SPDYC,MAD2L1,MOS,FZR1,PDE3A,PDE3B,ANAPC5,ANAPC7,ANAPC11,PGR,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLK1,PRKACA,PRKACB,PRKACG,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K1,PRKX,RAF1,RPS6KA1,RPS6KA2,RPS6KA3,MAPK12,CPEB1,ANAPC1,NA,BRAF,BUB1,MAD1L1,PIK3R3,CCNB3,CDC23,CDC16,CCNA2,CCNA1,CCNB1,PKMYT1,CCNB2,CDK1,CDC25A,CDC25B,CDC25C,CDC27"
Spliceosome (KEGG)	-2.739017867	7.008820138	-1.862520143	0.088961682	0.341289361	-4.665622821	"PQBP1,ALYREF,SF3B4,SMNDC1,BCAS2,SF3A1,PPIE,PPIH,CHERP,SLU7,PRPF8,USP39,SRSF10,TXNL4A,TCERG1,SRSF8,SF3A3,SF3B2,SNRNP27,LSM6,DDX42,U2AF2,HNRNPA1L2,CCDC12,ZMAT2,DDX5,DHX8,DHX15,HNRNPA3,PUF60,NCBP2,SNW1,ACIN1,SNRNP200,U2SURP,SF3B3,SF3B1,LSM5,PRPF6,PRPF40B,LSM4,SYF2,PRPF31,LSM3,RBMX,PRPF19,TRA2A,HNRNPA1,HNRNPC,HNRNPK,HNRNPU,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8,MAGOH,HNRNPM,NCBP1,SNU13,RBMXL1,PCBP1,CRNKL1,CDC40,CWC15,SF3B6,PPIL1,LSM7,LSM8,WBP11,PLRG1,MAGOHB,PRPF38B,PRPF40A,RBM22,CTNNBL1,XAB2,THOC2,ISY1,LSM2,RBM25,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,TRA2B,NA,SNRNP70,SNRPA,SNRPA1,SNRPB,SNRPB2,SNRPC,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,U2AF1,DDX39B,SF3A2,SF3B5,THOC3,DHX16,PHF5A,PRPF38A,RBM17,PRPF18,SRSF9,BUD31,SART1,PRPF4,PRPF3,EFTUD2,SNRNP40,DDX23,AQR,EIF4A3,DHX38,DDX46,CDC5L,RBM8A,THOC1"
"{PPP2CA,20} (Static Module)"	-2.733080113	6.343407267	-1.85613018	0.089927965	0.34258125	-4.675036423	"AXIN2,GCM2,PPP1R17,MOB4,PPM1B,PPP2CA,PPP2CB,PPP2R1B,PPP2R3A,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP4C,PPP5C,PPP6C,RBM22,TSR1"
Physiological and Pathological Hypertrophy  of the Heart (Wikipathways)	-2.415892856	7.764149767	-1.853156979	0.090380835	0.34258125	-4.679410912	"MAPK14,CTF1,AGT,EDN1,FOS,GATA4,IL6ST,JUN,RHOA,LIFR,NFATC4,MYEF2,PPP3CA,PPP3CB,PRKCB,PRKCE,MAPK1,MAPK8,MAPK11,MAP2K3,RAC1,STAT3,CALM1,CALM2,CALM3,CAMK2D"
"{SREBF1,11} (Static Module)"	-2.378495442	7.611160226	-1.843654076	0.091842311	0.346048709	-4.693368639	"FASN,LIMA1,MARCKSL1,MBTPS2,PFKL,PFKM,PFKP,PKLR,PKM,SREBF1,TWIST2"
TGF beta receptor down reg. targets (Netpath)	-2.486695912	6.673688665	-1.828125015	0.094277072	0.352273248	-4.716098169	"DOCK8,EEF1G,EFEMP1,EFNB1,EFNB3,EGFR,EGR2,EHD3,CELA3A,ELF3,EEF1A1,EDN1,LPAR1,DPP4,DPYSL2,DRD2,DUSP5,E2F1,E2F3,E2F4,ECM2,S1PR1,ENG,ENO1,F2R,F3,FAM3C,FARP1,FASTK,FBLN1,FGF18,FGF6,FGF7,EXOSC2,EVI2B,EVI2A,EPAS1,EPB41L2,EPHA1,EPHA2,EPHB2,EPHB6,EPOR,EPS15,ETV5,FGFR3,COPB1,CSDE1,CSF1,CSRP2,CST4,CTBP1,CTF1,CTNNAL1,CTNNB1,CTSC,CRYAB,CRYAA,MED7,COPS3,CPA4,CPD,CRADD,CREG1,CREM,CRK,CROT,MED27,CTSD,CTSH,DAPK1,ACKR1,DAXX,DBP,DDIT3,DDX43,DHPS,DHX38,DIRAS3,CD55,CYP1B1,CYP1A1,CTSK,CTSL,CELF2,CUL5,CXCL3,CXCL6,CYB5A,CYB561,CYB5A,DKK1,FGL2,GSTM3,HMGN4,HNMT,HNRNPA2B1,HNRNPDL,HOXA1,HOXA2,HOXA3,HPN,HRH2,HMGCS1,HMGB1,HLA-DOA,GSTM5,GUCY2F,GYPC,HDGF,HEBP1,HEXB,HGF,UBE2K,HIST1H2AI,HSF2,HSPA4,IGFBP4,IL13RA1,IL1B,IL1R1,IL1RN,IL6ST,ILF3,IMPA2,INPP1,IGF2,IFRD1,IFNAR2,HACD3,HSP90AA1,ICAM1,ICOS,ID4,IDH2,IFIT1,IFIT2,IFIT3,INSR,FKBP1B,FTHL17,FUS,FZD7,G6PD,GALNT5,GALR1,GALT,GAPDH,GAS1,FST,FPR1,FOXQ1,FLG,FLRT1,FLT3LG,FMO2,FMO3,FOSL1,FOXF2,FOXG1,FOXM1,GAS6,GATA3,GPM6B,GPNMB,ADGRG6,GPER1,GPRC5A,GRB7,GRK5,GRN,GSK3A,GOLM1,GNPDA1,GM2A,GBP2,GCN1,GCNT1,GDF15,GDF5,GGA3,GHRL,GJB1,GLMN,GSTM1,ADRB2,ALDH1A3,ALDH3A2,ANG,ANGPT1,ANGPT2,ANK3,ANKMY2,ANKRD22,ANXA2,AKT2,AKR1C3,AKR1C2,AFF3,AGPAT1,AHR,AIM2,AK2,AKAP2,AKR1B1,AKR1B10,AKR1C1,AOX1,APBB2,ARNT2,ARPC1A,ASAH1,ASNA1,ATF3,ATP1B1,ATP2B2,ATR,ATRX,ARMCX1,ARL6IP5,ARID3B,APEX1,APLN,APOC1,APOE,AREG,ARHGAP29,ARHGAP6,ARHGEF16,ARHGEF3,AXIN2,BCL2L1,FUBP1,HAS2,HAS3,ID1,IKBKE,MMP1,MYC,TONSL,PAX8,E2F5,CXCL1,COL1A1,ACSL4,AMACR,CCNA1,CCNB2,CCNE1,CD34,CDH1,CDK4,CDKN1A,PLCL2,SKI,ACTA2,ACTG1,ACVR2A,ADAMTS1,PLIN2,ADH1B,ADH1C,ADH5,ADM,ACO1,ACACB,ABO,SLC5A5,TG,TGFB1,TGFB3,TPO,VTN,CFD,A2M,ABCA3,ADORA2B,B3GALT2,ACKR4,CDH2,CDK5R1,CDK5RAP2,CDK6,CDKN1C,CDSN,CEACAM5,CEACAM6,CEACAM7,CDH13,CDH11,CDC7,CCT7,CD1A,CD244,CD36,CDC16,CDC25A,CDC25B,CDC42,CDC6,CEBPD,CFHR1,CLEC11A,CLEC2B,CNKSR1,CNN2,CNTNAP1,COL17A1,COL18A1,COL4A2,COLEC12,CLDN8,CLDN4,CLDN1,CFL1,CHERP,FOXN3,CHI3L1,CHI3L2,CITED2,TBCB,CKS1B,CLCN7,COPA,B3GALNT1,BST1,BTD,BTN2A1,BYSL,CDC123,C1R,C1S,C21orf33,C5,BABAM2,BRD2,BRCA1,LRRC23,AGR3,BDKRB2,CFB,BFSP1,BGN,NAIP,BMP2,BNIP2,C6,C7,CCL27,CCL7,CCL8,CCNA2,CCNC,CCND1,CCNF,CCNG1,CCNH,CCL2,CCL13,CBFB,TCIM,CA12,CAD,CAMK2B,CAMK2D,CASP1,CASP4,CAST,CAV1,NA,IQGAP2,SDCBP,SFRP4,SCG5,SH3BP2,SIDT2,PRMT5,SLC20A1,SLC22A6,SLC25A11,SLC27A4,SFRP1,SF1,SERPINF2,NEMF,CWC27,SELENBP1,SEMA3A,SELENOP,SEPT4,SERPINB8,SERPINB9,SERPINE1,SLC40A1,NA,SPINT2,SPRY1,SPTA1,SQOR,SQSTM1,SREBF1,SREBF2,SRPX,SSBP2,SPINK2,SPI1,SOD3,SLIT3,SLPI,SMAD3,SMARCA1,KDM5C,SNAI2,SNX10,SOCS1,SOD1,SST,PUS1,RBMX2,RBP4,RDH10,RELA,RELB,RGL2,RGS2,RGS4,RGS5,RBBP4,RB1,RASSF5,RAB13,RAB27B,RABEP2,RAE1,RALBP1,RAN,RANGAP1,RARRES3,RASSF1,RHOA,RNASE1,S100A4,SAP18,SASH1,SAT1,SCAMP3,SKAP1,SCG2,SCO2,SHISA5,S100A10,S100A1,RYR1,RNF5,RNH1,RPL13A,RPL18,RPL5,RPP38,RPS3,CNOT9,RRAS,SDC4,ST14,TSPAN6,VAPB,VBP1,VCAM1,VEGFA,VIL1,VIM,WASF3,CIAO1,WEE1,USP6NL,USP25,UNG,TUBB,TXNIP,TXNRD1,UBE2D2,UBE2E1,UBE2G2,UQCR10,UGCG,UNC119,WISP2,ZBTB14,CNBP,BMP4,CCND2,CCND3,CDK2,CDKN1B,ID2,ID3,MMP2,ZNF74,ZNF711,ZNF488,ZFP36L2,ZFPM2,ZNF137P,ZNF142,ZNF143,ZSCAN9,ZNF212,ZNF263,ZNF395,PLAU,ST6GALNAC2,SULT1E1,SUV39H1,SVIL,SYNGR2,TACSTD2,TANK,TAP1,TBC1D10A,TBX3,SUFU,STOML2,STOM,STAM,STAMBPL1,STAT5B,STC1,STC2,STK17B,STK25,STK38,STMN1,TCF21,TCF7L1,TMSB10,TNFAIP2,TNFAIP3,TNFRSF10A,TNFRSF1A,TNFSF10,TOB1,TOP2A,TP53I3,TM4SF1,TIMP3,THBD,TF,TFAP2A,TFCP2,TFDP2,TFPI,TFPI2,TGFB2,TGFBR2,TGFBR3,TPD52,MAP2K1,BORCS8-MEF2B,MEST,MFNG,MGAT1,C19orf57,MGST1,MGST2,MID1,MIPEP,ME1,MCM5,MBTPS1,MAP2K2,MAP3K11,MAP3K5,MAP3K8,MAPK10,MAPK6,MAPK7,MAPK8,MAPKAPK2,MITF,MME,NAT6,NCK1,NCK2,NCOA3,NCOR2,NEDD4,NFE2L1,NFIA,NFIB,NAB2,MYOZ2,DENND4A,MMP13,MPP3,MR1,MSR1,MST1,MTA1,MTMR4,MVK,MYBL2,NFIL3,MADD,IRF9,KIF1B,NDC80,KPNA2,KRT18,KRT19,KRT4,KRT7,KRT8,LAMA3,KIF11,KIAA0100,KHDRBS3,ITGA2,ITGA6,ITGAM,ITGAV,JAG2,JUN,TUBA1B,KCNE3,KCNMB1,LAMA4,LAMC1,LMNA,NHP2P2,ADGRL2,LPL,LRP4,LSR,LTA,LTF,LUM,LITAF,LIMS1,LILRB2,LAMC2,LCN2,LCP2,LDLR,LEPR,LGALS3,LHFPL6,LHFPL2,LIF,LY96,PLAG1,PPARG,PPFIBP2,PPIA,PPIC,PPL,PPM1F,PDP1,PPP1CA,PPP2R1A,PLPP3,PPA1,PLCL1,RTKN2,PLEKHO2,PLK2,PMP2,PMVK,PNOC,POU2F2,POU6F1,PPP2R1B,PPP2R5C,PPP3CB,PTCH1,PTEN,PTGER4,PTGIS,PTN,PTPN13,PTPN2,PTPRF,PTTG1,PSMD14,PSMC3,PRCC,PRKCB,PRKD1,PRODH,PSG1,PSG11,PSG4,PSMA6,PSMB6,PURA,PLA1A,NFKBIZ,OSBPL1A,OXA1L,OXTR,P2RX6,PAK3,PARD6B,PEBP1,PBX1,PCDH7,SIGMAR1,OGN,OAZ3,NID2,NINJ1,NOL3,NONO,NPC2,NPTX2,NR2F2,NRCAM,NUDT2,PCDHGC3,PKM,PDLIM3,PFDN5,PGRMC1,PHF3,PHLDA1,PIGC,PIK3R1,PIR,PKLR,PDIA5,PDGFRL,CDK17,PCF11,PCOLCE,CDK18,PCYT2,PDGFRB,PDE1A,PDE5A,PDGFD,PDGFRA"
Cysteine and methionine metabolism (KEGG)	-2.768043364	6.317802658	-1.826046725	0.094607349	0.352273248	-4.719132575	"CDO1,AHCYL1,SDS,CTH,LDHAL6A,DNMT1,TRDMT1,DNMT3A,DNMT3B,AHCY,AHCYL2,IL4I1,AMD1,MAT2B,GOT1,GOT2,DNMT3L,LDHA,LDHB,LDHC,MAT1A,MAT2A,MPST,MTAP,MTR,APIP,ADI1,ENOPH1,BHMT,SMS,SRM,TAT,TST,MRI1,CBS,LDHAL6B"
